GeneSymbol	Desnoplastic	Stroma Activated	Immune classical	Pure classical	pure basal-like
SLIT3	5.58145445244964	4.47840704958237	4.86669895093369	4.708222192903	4.38278892462723
PIK3C2B	4.60376485700451	4.81868288218301	4.76397981151068	5.30406886425318	4.38245937651222
PSMD2	3.72988801029948	3.98786162557998	3.55720975733194	3.92995580777779	4.36960030565133
GRASP	5.00001250160388	4.6055392628993	4.77181674169716	4.43877617199385	4.35747308530856
CCL19	6.10518970624088	4.6536456435218	5.82684814871895	5.10222634116998	4.35659293015115
HSPB8	5.47239636018938	4.88888668912191	4.8867555462501	4.57292114762629	4.33405080485663
KRT15	3.04501232951781	3.68762792558078	3.17633071864291	3.34143247131758	4.33106405529192
MUC13	5.26292309398103	5.72423843132801	6.27133350565531	7.01165385208519	4.3144824870375
KCNJ8	4.94402737170832	4.39620069517519	4.25081201275875	3.98540046149293	4.30313197002639
C7	7.65342138663995	6.11142727814932	6.90966406988233	6.23584283103246	4.28866329108404
SLIT2	5.17016090946181	4.66426577022287	4.72795703325548	4.47001189946098	4.28041472055911
PLS1	4.37868005624816	5.22519865200404	5.15803442840648	5.74716728548326	4.2799402602462
HSD11B2	4.38351824046116	4.46575990593556	4.7791380408663	5.25262354333285	4.25457724738201
HSD17B2	4.48452011702093	4.80254744385683	4.96928308781648	5.93605625766777	4.25178083285685
EPB41L3	5.5615316113203	4.87647364579744	5.02530700252118	4.55396650652614	4.23764321105237
DMBT1	5.13033187142929	5.26245751979197	5.34620758774945	7.37323646551226	4.23751972976893
WNT5A	4.26041357474967	5.0432468401137	4.35295214783657	4.33073330795925	4.22765670548724
PLLP	4.44938315891531	4.85369682043459	4.9808643640888	5.57968981235228	4.16547663397814
KCNE4	5.09284290617762	4.77838925047422	4.68442602813088	4.3363258413065	4.16454977698064
NFIA	5.13841119669349	4.53809993755656	5.33281923485322	4.94538252353571	4.14706600427096
AGR2	3.93642897667618	4.77604044239688	5.30178679357641	6.27423810908015	4.12868281916256
MGP	5.92205678596888	5.07624731738951	5.77359717084711	4.91126562239273	4.11154356002201
SYNE1	5.2078596413876	4.65461233423047	4.79125051479149	4.38144260285615	4.09795710513355
MAN1A1	5.36446604283299	4.86168032663696	5.07459726250645	4.53331762294201	4.0894171049236
SMOC2	6.02633988949309	5.3973683952743	5.46400668476643	5.42902491558395	4.07633956886738
KRT14	2.89106981567053	3.07231669870126	2.86252115869123	2.83996099812851	4.07577793460217
CAPN5	4.55867621907737	5.03074535572209	4.76513229176067	5.73582851737925	4.070678282752
IL33	5.57944756735443	4.27863053741185	5.36109813501974	4.71616127819221	4.06287209505418
CACNA2D1	4.48409211694045	4.13156134527544	4.17723017878102	3.96032529932244	4.061532356534
AOC3	4.99261804909494	4.55074269320615	4.27180606537142	4.12611575849493	4.05441809273172
EPS8L3	4.75200528144629	5.60331468108803	5.77694363381583	6.57638564185426	4.04121339017404
NDN	4.84460962533666	4.5819189523358	4.49049891829587	4.18057847518598	4.04022490222496
PAPLN	5.00848787303399	4.42204108338996	4.87498474344662	4.14089725472178	4.02712644206833
WNT10A	3.36992125085794	4.13956043712584	3.21859413203782	3.34202363516165	4.02151412220986
